Sno,freq_neg,freq_pos,overall
1,387.94739233425133,439.64195107346444,positive
2,169.61592149220115,244.7154089189195,positive
3,209.3283305740198,219.47017348766326,positive
4,170.73088503838764,131.48393861828916,negative
5,211.07958306338816,271.08597035491636,positive
6,144.72280409016759,182.54232203318006,positive
7,160.56209158377627,142.14321865112876,positive
8,286.2385131503979,243.76775083498808,negative
9,253.77287058921266,151.90816578523152,negative
10,37.75881792960962,50.086820562273445,positive
11,133.1738888323089,118.99495195794844,negative
12,193.28266059710393,180.88333019003755,negative
13,666.6523123363611,500.2607171390363,negative
14,153.68671451408107,145.0155554755157,negative
15,51.36460574597487,82.51042508323943,positive
16,255.58015067793278,142.13805177292951,negative
17,162.6954893679199,158.67123642611065,positive
18,291.0624829458227,204.14650343625016,negative
19,141.84193611070347,155.90038273658394,positive
20,191.74175287653532,149.53380151951362,negative
21,390.50840776136624,352.8672843039133,positive
22,365.07046395926534,216.30226392664244,negative
23,98.78868313588154,84.31311775524873,positive
24,499.88111114348146,349.8068074295795,negative
25,244.38071285396194,187.1654934472881,negative
26,127.78800682239003,145.06076747264325,positive
27,729.5068803602524,743.4339411449761,positive
28,158.37665218543947,138.84906979284867,negative
29,220.44376599970818,184.0689463541079,negative
30,721.0612252284998,874.3362942187402,positive
31,453.9028497137257,567.1858231924646,positive
32,391.07086425834143,509.92439389413283,positive
33,155.61168442738455,128.12528314937643,negative
34,755.1339323763063,866.9030870788235,positive
35,431.68722426431725,310.70811097050847,negative
36,536.718304661334,397.7429105242895,negative
37,121.85173013311048,93.44696318428916,negative
38,478.20525771112574,364.8854298814011,negative
39,126.01622696250573,132.70977408149773,positive
40,334.8288763393792,256.0594126766699,negative
41,156.50475485939793,124.03089728566074,negative
42,188.3062554930768,317.325195977348,positive
43,260.37309862240636,190.63534782103486,negative
44,459.40071159295235,304.0841670337931,negative
45,197.74335563758027,208.7463342823814,positive
46,278.79651552851755,305.63169658504717,positive
47,132.71720599536226,92.12881393504709,negative
48,163.92018410222016,130.66919428335203,negative
49,693.0232351907162,809.0071939249198,positive
50,177.0202363331702,121.71706937931545,negative
51,438.8668420960045,520.0976125811812,positive
52,683.8077834356471,776.5375561085597,positive
53,164.20397600677484,143.29617267312972,positive
54,103.60774419709055,97.05136934460423,positive
55,259.7292357643698,226.792329077408,negative
56,316.0234644164208,256.20683383545804,negative
57,305.97836262050646,236.8302056430346,negative
58,237.14288690458577,197.85650538640323,negative
59,478.1218046682366,604.7965340412597,positive
60,475.7229899234254,561.8090103886678,positive
61,296.731128665295,257.5328899207539,negative
62,224.07414759488037,159.35160662857186,negative
63,108.41768943486184,146.10592611266497,positive
64,88.994871385847,65.17539997485359,negative
65,331.8704153288094,229.95915044610834,negative
66,342.81591225375104,409.7436538520729,positive
67,595.7166686347127,378.79365163422557,negative
68,240.33586747468956,235.02684742651604,negative
69,299.4831334939477,260.4444645466066,negative
70,339.9592277026746,289.7344097012781,negative
71,317.7299201162304,250.3700515267458,negative
72,410.05488306808974,364.3445887448617,negative
73,308.88372661209235,306.77053784074917,positive
